location_id,state,remoteness_area,sa4_name,lga_name,road_type
L838,NT,Very Remote Australia,Northern Territory - Outback,Central Desert,Sub-arterial Road
L839,NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Local Road
L840,NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Local Road
L841,VIC,Major Cities of Australia,Melbourne - South East,Monash,Sub-arterial Road
L842,NSW,Inner Regional Australia,Sydney - Outer South West,Sutherland,Arterial Road
L843,VIC,Inner Regional Australia,Bendigo,Macedon Ranges,Sub-arterial Road
L844,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,National or State Highway
L845,VIC,Major Cities of Australia,Melbourne - North West,Hume,Collector Road
L846,NSW,Outer Regional Australia,Mid North Coast,Kempsey,Arterial Road
L847,SA,Major Cities of Australia,Adelaide - South,Mitcham,Sub-arterial Road
L848,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,National or State Highway
L849,VIC,Inner Regional Australia,Hume,Strathbogie,National or State Highway
L850,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Local Road
L851,SA,Inner Regional Australia,South Australia - South East,Murray Bridge,National or State Highway
L852,NSW,Remote Australia,Far West and Orana,Coonamble,Sub-arterial Road
L853,SA,Outer Regional Australia,South Australia - South East,Coorong,National or State Highway
L854,QLD,Inner Regional Australia,Central Queensland,Gladstone,Sub-arterial Road
L855,QLD,Outer Regional Australia,Darling Downs - Maranoa,Goondiwindi,Sub-arterial Road
L856,SA,Very Remote Australia,South Australia - Outback,Wudinna,National or State Highway
L857,QLD,Very Remote Australia,Queensland - Outback,Murweh,Sub-arterial Road
L858,TAS,Inner Regional Australia,Hobart,Clarence,National or State Highway
L859,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Collector Road
L860,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,National or State Highway
L861,NSW,Major Cities of Australia,Sydney - Ryde,Ryde,National or State Highway
L862,NSW,Outer Regional Australia,Capital Region,Eurobodalla,National or State Highway
L863,SA,Outer Regional Australia,South Australia - South East,Renmark Paringa,Sub-arterial Road
L864,SA,Outer Regional Australia,South Australia - South East,Loxton Waikerie,National or State Highway
L865,NSW,Inner Regional Australia,Murray,Federation,Local Road
L866,TAS,Outer Regional Australia,West and North West,Central Coast (Tas.),National or State Highway
L867,NSW,Inner Regional Australia,Central West,Orange,National or State Highway
L868,NSW,Outer Regional Australia,Murray,Berrigan,Arterial Road
L869,SA,Major Cities of Australia,Adelaide - Central and Hills,Norwood Payneham and St Peters,Local Road
L870,TAS,Outer Regional Australia,Hobart,Sorell,National or State Highway
L871,NSW,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road
L872,NSW,Inner Regional Australia,Capital Region,Snowy Monaro,National or State Highway
L873,NSW,Major Cities of Australia,Capital Region,Yass Valley,National or State Highway
L874,NT,Very Remote Australia,Northern Territory - Outback,MacDonnell,Sub-arterial Road
L875,NSW,Inner Regional Australia,Riverina,Wagga Wagga,National or State Highway
L876,SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Sub-arterial Road
L877,TAS,Outer Regional Australia,Launceston and North East,George Town,National or State Highway
