crash_id,location_id
20243228,L376
20242210,L512
20242253,L484
20242256,L323
20241289,L513
20243045,L346
20243045,L346
20243045,L346
20242028,L509
20243054,L190
20241187,L514
20246007,L515
20241126,L516
20244049,L203
20242021,L517
20242045,L518
20243101,L519
20242206,L520
20242117,L215
20241226,L109
20242079,L521
20241156,L522
20243093,L523
20243125,L464
20243134,L292
20242239,L325
20241232,L524
20241061,L525
20244056,L398
20242039,L526
20241182,L90
20241044,L527
20242131,L528
20244031,L24
20244031,L24
20242059,L440
20242033,L529
20241207,L530
20243033,L531
20242159,L532
20243177,L533
20243241,L407
20243132,L478
20243159,L218
20242072,L305
20243028,L534
20243105,L535
20242258,L536
20241007,L537
20241227,L487
20243130,L5
20242065,L182
20243259,L102
20244052,L538
20242247,L539
20242247,L539
20241093,L31
20241276,L540
20242208,L541
20241157,L542
20244065,L543
20242054,L258
20242221,L325
20242197,L137
20241075,L544
20241279,L238
20243095,L347
20243272,L485
20243027,L545
20248001,L193
20242228,L216
20242105,L78
20241069,L546
20244074,L547
20244074,L547
20244008,L548
20243100,L93
20241122,L549
20244064,L472
20243138,L531
20241141,L126
20241244,L550
20242236,L473
20242195,L222
20242010,L358
20242205,L551
20244002,L13
20242041,L364
20242084,L358
20243230,L552
20241114,L553
20243068,L230
20243099,L554
20242145,L555
20243062,L556
20244048,L557
20241112,L262
20243047,L558
20242198,L559
20243202,L560
20243202,L560
20244029,L561
20241185,L562
20241185,L562
20241185,L562
20241185,L562
20242153,L563
20243257,L564
20243149,L565
20242202,L566
20243245,L567
20244004,L568
20241123,L569
20242222,L570
20242248,L571
20241213,L572
20241213,L572
20241213,L572
20242220,L573
20242047,L258
20243270,L97
20241121,L574
20243016,L230
20241038,L45
20243200,L269
20243039,L575
20242246,L529
20242063,L576
20243180,L405
20241297,L577
20243059,L377
20242242,L578
20242091,L579
20243077,L580
20244038,L176
20243136,L347
20243211,L581
20241270,L582
20241225,L477
20241084,L71
20243050,L64
20243216,L29
20242190,L583
20243115,L166
20242116,L291
20241129,L497
20244076,L23
20243141,L100
20241095,L356
20242082,L195
20241090,L505
20241113,L45
20243258,L59
20244053,L584
20241064,L42
20243175,L585
20243183,L157
20241049,L116
20241242,L586
20241144,L587
20243262,L66
20241001,L497
20242231,L261
20241018,L307
20241105,L106
20241282,L588
20243204,L589
20243224,L453
20243179,L118
20241192,L590
20241026,L126
20241067,L591
20242001,L394
20243013,L552
20241191,L592
20241191,L592
20242031,L593
20241117,L594
20241117,L594
20246020,L595
20241012,L92
20242263,L596
20242038,L495
20246005,L597
20244030,L598
20242061,L509
20244036,L134
20242134,L599
